#    mchi[GeV]       Dm[GeV]        lambda  SigmaSI[cm2]  SigmaSI_UL[cm2]  SigmaSI_ULLZ[cm2]       rval_DD     rval_DDLZ 
   1.75000E+03   2.41765E+01   6.20000E-01   1.04000E-45      1.44000E-45        4.99015E-46   7.22222E-01   2.08410E+00 
   1.80000E+03   2.27233E+01   6.20000E-01   1.28000E-45      1.48000E-45        5.14411E-46   8.64865E-01   2.48828E+00 
   1.85000E+03   2.13320E+01   6.20000E-01   1.58000E-45      1.52000E-45        5.29806E-46   1.03947E+00   2.98222E+00 
   1.90000E+03   1.99975E+01   6.20000E-01   1.97000E-45      1.56000E-45        5.45202E-46   1.26282E+00   3.61334E+00 
   1.95000E+03   1.87379E+01   6.20000E-01   2.47000E-45      1.61000E-45        5.60597E-46   1.53416E+00   4.40601E+00 
   2.00000E+03   1.75586E+01   6.20000E-01   3.11000E-45      1.65000E-45        5.75993E-46   1.88485E+00   5.39937E+00 
   2.05000E+03   1.64591E+01   6.20000E-01   3.93000E-45      1.69000E-45        5.90588E-46   2.32544E+00   6.65438E+00 
   2.10000E+03   1.54280E+01   6.20000E-01   4.98000E-45      1.73000E-45        6.05184E-46   2.87861E+00   8.22890E+00 
   2.15000E+03   1.44604E+01   6.20000E-01   6.34000E-45      1.77000E-45        6.19779E-46   3.58192E+00   1.02294E+01 
   2.20000E+03   1.35619E+01   6.20000E-01   8.10000E-45      1.81000E-45        6.34375E-46   4.47514E+00   1.27685E+01 
   2.25000E+03   1.27267E+01   6.20000E-01   1.04000E-44      1.85000E-45        6.48970E-46   5.62162E+00   1.60254E+01 
   2.30000E+03   1.19472E+01   6.20000E-01   1.33000E-44      1.89000E-45        6.63566E-46   7.03704E+00   2.00432E+01 
   2.35000E+03   1.12140E+01   6.20000E-01   1.74000E-44      1.93000E-45        6.78161E-46   9.01554E+00   2.56576E+01 
   2.40000E+03   1.05210E+01   6.20000E-01   2.28000E-44      1.97000E-45        6.92757E-46   1.15736E+01   3.29120E+01 
   2.45000E+03   9.86536E+00   6.20000E-01   3.03000E-44      2.02000E-45        7.07352E-46   1.50000E+01   4.28358E+01 
   2.50000E+03   9.24740E+00   6.20000E-01   4.10000E-44      2.06000E-45        7.21948E-46   1.99029E+01   5.67908E+01 
   2.60000E+03   8.11526E+00   6.20000E-01   7.95000E-44      2.14000E-45        7.51138E-46   3.71495E+01   1.05839E+02 
   2.70000E+03   7.09278E+00   6.20000E-01   1.79000E-43      2.22000E-45        7.80329E-46   8.06306E+01   2.29390E+02 
   2.80000E+03   6.16616E+00   6.20000E-01   5.17000E-43      2.30000E-45        8.09520E-46   2.24783E+02   6.38650E+02 
   2.90000E+03   5.32464E+00   6.20000E-01   3.19000E-42      2.39000E-45        8.38711E-46   1.33473E+03   3.80346E+03 
   3.00000E+03   4.56691E+00   6.20000E-01   7.93000E-41      2.47000E-45        8.67902E-46   3.21053E+04   9.13698E+04 
   1.00000E+02   3.40596E+01   7.50000E-01   9.00000E-44      9.13000E-47        2.77513E-47   9.85761E+02   3.24310E+03 
   1.25000E+02   3.77193E+01   7.50000E-01   4.08000E-44      1.11000E-46        3.51588E-47   3.67568E+02   1.16045E+03 
   1.50000E+02   3.95426E+01   7.50000E-01   2.51000E-44      1.31000E-46        4.31873E-47   1.91603E+02   5.81189E+02 
   1.75000E+02   4.04419E+01   7.50000E-01   1.78000E-44      1.52000E-46        4.97704E-47   1.17105E+02   3.57643E+02 
   2.00000E+02   4.14045E+01   7.50000E-01   1.30000E-44      1.72000E-46        5.73117E-47   7.55814E+01   2.26830E+02 
   2.50000E+02   4.35935E+01   7.50000E-01   7.18000E-45      2.13000E-46        7.20152E-47   3.37089E+01   9.97012E+01 
   3.00000E+02   4.58688E+01   7.50000E-01   4.22000E-45      2.54000E-46        8.62586E-47   1.66142E+01   4.89226E+01 
   3.50000E+02   4.79809E+01   7.50000E-01   2.67000E-45      2.94000E-46        9.90191E-47   9.08163E+00   2.69645E+01 
   4.00000E+02   4.98328E+01   7.50000E-01   1.80000E-45      3.34000E-46        1.13759E-46   5.38922E+00   1.58230E+01 
   4.50000E+02   5.13939E+01   7.50000E-01   1.28000E-45      3.75000E-46        1.28995E-46   3.41333E+00   9.92285E+00 
   5.00000E+02   5.26887E+01   7.50000E-01   9.52000E-46      4.16000E-46        1.43927E-46   2.28846E+00   6.61447E+00 
   5.50000E+02   5.37017E+01   7.50000E-01   7.40000E-46      4.57000E-46        1.58947E-46   1.61926E+00   4.65565E+00 
   6.00000E+02   5.44519E+01   7.50000E-01   5.96000E-46      4.98000E-46        1.73983E-46   1.19679E+00   3.42562E+00 
   6.50000E+02   5.49409E+01   7.50000E-01   4.96000E-46      5.39000E-46        1.86126E-46   9.20223E-01   2.66486E+00 
   7.00000E+02   5.51961E+01   7.50000E-01   4.24000E-46      5.80000E-46        1.97355E-46   7.31034E-01   2.14842E+00 
   7.50000E+02   5.52098E+01   7.50000E-01   3.73000E-46      6.21000E-46        2.10639E-46   6.00644E-01   1.77080E+00 
   8.00000E+02   5.50181E+01   7.50000E-01   3.36000E-46      6.61000E-46        2.24890E-46   5.08321E-01   1.49407E+00 
   8.50000E+02   5.46092E+01   7.50000E-01   3.09000E-46      7.02000E-46        2.39141E-46   4.40171E-01   1.29213E+00 
   9.00000E+02   5.40132E+01   7.50000E-01   2.91000E-46      7.43000E-46        2.54766E-46   3.91655E-01   1.14223E+00 
   9.50000E+02   5.32264E+01   7.50000E-01   2.79000E-46      7.83000E-46        2.70824E-46   3.56322E-01   1.03019E+00 
   1.00000E+03   5.22836E+01   7.50000E-01   2.73000E-46      8.24000E-46        2.86883E-46   3.31311E-01   9.51609E-01 
   1.05000E+03   5.11749E+01   7.50000E-01   2.72000E-46      8.65000E-46        3.01433E-46   3.14451E-01   9.02357E-01 
   1.10000E+03   4.99341E+01   7.50000E-01   2.75000E-46      9.06000E-46        3.15696E-46   3.03532E-01   8.71092E-01 
   1.15000E+03   4.85672E+01   7.50000E-01   2.83000E-46      9.47000E-46        3.29959E-46   2.98838E-01   8.57684E-01 
   1.20000E+03   4.70672E+01   7.50000E-01   2.97000E-46      9.89000E-46        3.44221E-46   3.00303E-01   8.62817E-01 
   1.25000E+03   4.54708E+01   7.50000E-01   3.16000E-46      1.03000E-45        3.58906E-46   3.06796E-01   8.80452E-01 
   1.30000E+03   4.37933E+01   7.50000E-01   3.42000E-46      1.07000E-45        3.73756E-46   3.19626E-01   9.15036E-01 
   1.35000E+03   4.20495E+01   7.50000E-01   3.76000E-46      1.11000E-45        3.88605E-46   3.38739E-01   9.67563E-01 
   1.40000E+03   4.02410E+01   7.50000E-01   4.20000E-46      1.15000E-45        4.03454E-46   3.65217E-01   1.04101E+00 
   1.45000E+03   3.83852E+01   7.50000E-01   4.76000E-46      1.19000E-45        4.17391E-46   4.00000E-01   1.14042E+00 
   1.50000E+03   3.65126E+01   7.50000E-01   5.48000E-46      1.24000E-45        4.30720E-46   4.41935E-01   1.27229E+00 
   1.55000E+03   3.46235E+01   7.50000E-01   6.40000E-46      1.28000E-45        4.44048E-46   5.00000E-01   1.44129E+00 
   1.60000E+03   3.27275E+01   7.50000E-01   7.58000E-46      1.32000E-45        4.57376E-46   5.74242E-01   1.65728E+00 
   1.65000E+03   3.08510E+01   7.50000E-01   9.11000E-46      1.36000E-45        4.70705E-46   6.69853E-01   1.93540E+00 
   1.70000E+03   2.90251E+01   7.50000E-01   1.10000E-45      1.40000E-45        4.84033E-46   7.85714E-01   2.27257E+00 
   1.75000E+03   2.72454E+01   7.50000E-01   1.36000E-45      1.44000E-45        4.99015E-46   9.44444E-01   2.72537E+00 
   1.80000E+03   2.55483E+01   7.50000E-01   1.68000E-45      1.48000E-45        5.14411E-46   1.13514E+00   3.26587E+00 
   1.85000E+03   2.39160E+01   7.50000E-01   2.09000E-45      1.52000E-45        5.29806E-46   1.37500E+00   3.94484E+00 
   1.90000E+03   2.23476E+01   7.50000E-01   2.64000E-45      1.56000E-45        5.45202E-46   1.69231E+00   4.84224E+00 
   1.95000E+03   2.08679E+01   7.50000E-01   3.35000E-45      1.61000E-45        5.60597E-46   2.08075E+00   5.97577E+00 
   2.00000E+03   1.94832E+01   7.50000E-01   4.27000E-45      1.65000E-45        5.75993E-46   2.58788E+00   7.41328E+00 
   2.05000E+03   1.81931E+01   7.50000E-01   5.45000E-45      1.69000E-45        5.90588E-46   3.22485E+00   9.22808E+00 
   2.10000E+03   1.69882E+01   7.50000E-01   6.98000E-45      1.73000E-45        6.05184E-46   4.03468E+00   1.15337E+01 
   2.15000E+03   1.58640E+01   7.50000E-01   9.01000E-45      1.77000E-45        6.19779E-46   5.09040E+00   1.45374E+01 
   2.20000E+03   1.48264E+01   7.50000E-01   1.16000E-44      1.81000E-45        6.34375E-46   6.40884E+00   1.82857E+01 
   2.25000E+03   1.38666E+01   7.50000E-01   1.50000E-44      1.85000E-45        6.48970E-46   8.10811E+00   2.31135E+01 
   2.30000E+03   1.29772E+01   7.50000E-01   1.94000E-44      1.89000E-45        6.63566E-46   1.02646E+01   2.92360E+01 
   2.35000E+03   1.21466E+01   7.50000E-01   2.53000E-44      1.93000E-45        6.78161E-46   1.31088E+01   3.73068E+01 
   2.40000E+03   1.13675E+01   7.50000E-01   3.33000E-44      1.97000E-45        6.92757E-46   1.69036E+01   4.80688E+01 
   2.45000E+03   1.06357E+01   7.50000E-01   4.43000E-44      2.02000E-45        7.07352E-46   2.19307E+01   6.26279E+01 
   2.50000E+03   9.95089E+00   7.50000E-01   5.97000E-44      2.06000E-45        7.21948E-46   2.89806E+01   8.26930E+01 
   2.60000E+03   8.70545E+00   7.50000E-01   1.13000E-43      2.14000E-45        7.51138E-46   5.28037E+01   1.50438E+02 
   2.70000E+03   7.59344E+00   7.50000E-01   2.41000E-43      2.22000E-45        7.80329E-46   1.08559E+02   3.08844E+02 
   2.80000E+03   6.59186E+00   7.50000E-01   6.20000E-43      2.30000E-45        8.09520E-46   2.69565E+02   7.65886E+02 
   2.90000E+03   5.68519E+00   7.50000E-01   2.49000E-42      2.39000E-45        8.38711E-46   1.04184E+03   2.96884E+03 
   3.00000E+03   4.87319E+00   7.50000E-01   9.31000E-41      2.47000E-45        8.67902E-46   3.76923E+04   1.07270E+05 
   1.00000E+02   3.60158E+01   8.30000E-01   1.04000E-43      9.13000E-47        2.77513E-47   1.13910E+03   3.74758E+03 
   1.25000E+02   4.15584E+01   8.30000E-01   3.92000E-44      1.11000E-46        3.51588E-47   3.53153E+02   1.11494E+03 
   1.50000E+02   4.51310E+01   8.30000E-01   2.06000E-44      1.31000E-46        4.31873E-47   1.57252E+02   4.76992E+02 
   1.75000E+02   4.67446E+01   8.30000E-01   1.40000E-44      1.52000E-46        4.97704E-47   9.21053E+01   2.81292E+02 
   2.00000E+02   4.74873E+01   8.30000E-01   1.06000E-44      1.72000E-46        5.73117E-47   6.16279E+01   1.84953E+02 
   2.50000E+02   4.86393E+01   8.30000E-01   6.66000E-45      2.13000E-46        7.20152E-47   3.12676E+01   9.24805E+01 
   3.00000E+02   5.02894E+01   8.30000E-01   4.25000E-45      2.54000E-46        8.62586E-47   1.67323E+01   4.92704E+01 
   3.50000E+02   5.20898E+01   8.30000E-01   2.81000E-45      2.94000E-46        9.90191E-47   9.55782E+00   2.83784E+01 
   4.00000E+02   5.38001E+01   8.30000E-01   1.94000E-45      3.34000E-46        1.13759E-46   5.80838E+00   1.70537E+01 
   4.50000E+02   5.53212E+01   8.30000E-01   1.40000E-45      3.75000E-46        1.28995E-46   3.73333E+00   1.08531E+01 
   5.00000E+02   5.66184E+01   8.30000E-01   1.05000E-45      4.16000E-46        1.43927E-46   2.52404E+00   7.29537E+00 
   5.50000E+02   5.76585E+01   8.30000E-01   8.22000E-46      4.57000E-46        1.58947E-46   1.79869E+00   5.17155E+00 
   6.00000E+02   5.84516E+01   8.30000E-01   6.64000E-46      4.98000E-46        1.73983E-46   1.33333E+00   3.81646E+00 
   6.50000E+02   5.89850E+01   8.30000E-01   5.52000E-46      5.39000E-46        1.86126E-46   1.02412E+00   2.96573E+00 
   7.00000E+02   5.92867E+01   8.30000E-01   4.72000E-46      5.80000E-46        1.97355E-46   8.13793E-01   2.39163E+00 
   7.50000E+02   5.93418E+01   8.30000E-01   4.14000E-46      6.21000E-46        2.10639E-46   6.66667E-01   1.96545E+00 
   8.00000E+02   5.91835E+01   8.30000E-01   3.72000E-46      6.61000E-46        2.24890E-46   5.62784E-01   1.65414E+00 
   8.50000E+02   5.87972E+01   8.30000E-01   3.41000E-46      7.02000E-46        2.39141E-46   4.85755E-01   1.42594E+00 
   9.00000E+02   5.82139E+01   8.30000E-01   3.20000E-46      7.43000E-46        2.54766E-46   4.30686E-01   1.25606E+00 
   9.50000E+02   5.74313E+01   8.30000E-01   3.05000E-46      7.83000E-46        2.70824E-46   3.89527E-01   1.12619E+00 
   1.00000E+03   5.64788E+01   8.30000E-01   2.97000E-46      8.24000E-46        2.86883E-46   3.60437E-01   1.03527E+00 
   1.05000E+03   5.53467E+01   8.30000E-01   2.95000E-46      8.65000E-46        3.01433E-46   3.41040E-01   9.78659E-01 
   1.10000E+03   5.40722E+01   8.30000E-01   2.97000E-46      9.06000E-46        3.15696E-46   3.27815E-01   9.40779E-01 
   1.15000E+03   5.26550E+01   8.30000E-01   3.04000E-46      9.47000E-46        3.29959E-46   3.21014E-01   9.21328E-01 
   1.20000E+03   5.10953E+01   8.30000E-01   3.17000E-46      9.89000E-46        3.44221E-46   3.20526E-01   9.20919E-01 
   1.25000E+03   4.94234E+01   8.30000E-01   3.37000E-46      1.03000E-45        3.58906E-46   3.27184E-01   9.38963E-01 
   1.30000E+03   4.76551E+01   8.30000E-01   3.63000E-46      1.07000E-45        3.73756E-46   3.39252E-01   9.71223E-01 
   1.35000E+03   4.58051E+01   8.30000E-01   3.97000E-46      1.11000E-45        3.88605E-46   3.57658E-01   1.02160E+00 
   1.40000E+03   4.38735E+01   8.30000E-01   4.42000E-46      1.15000E-45        4.03454E-46   3.84348E-01   1.09554E+00 
   1.45000E+03   4.18831E+01   8.30000E-01   4.99000E-46      1.19000E-45        4.17391E-46   4.19328E-01   1.19552E+00 
   1.50000E+03   3.98638E+01   8.30000E-01   5.73000E-46      1.24000E-45        4.30720E-46   4.62097E-01   1.33033E+00 
   1.55000E+03   3.78161E+01   8.30000E-01   6.67000E-46      1.28000E-45        4.44048E-46   5.21094E-01   1.50209E+00 
   1.60000E+03   3.57508E+01   8.30000E-01   7.90000E-46      1.32000E-45        4.57376E-46   5.98485E-01   1.72724E+00 
   1.65000E+03   3.36963E+01   8.30000E-01   9.49000E-46      1.36000E-45        4.70705E-46   6.97794E-01   2.01613E+00 
   1.70000E+03   3.16861E+01   8.30000E-01   1.15000E-45      1.40000E-45        4.84033E-46   8.21429E-01   2.37587E+00 
   1.75000E+03   2.97202E+01   8.30000E-01   1.42000E-45      1.44000E-45        4.99015E-46   9.86111E-01   2.84560E+00 
   1.80000E+03   2.78329E+01   8.30000E-01   1.76000E-45      1.48000E-45        5.14411E-46   1.18919E+00   3.42139E+00 
   1.85000E+03   2.60131E+01   8.30000E-01   2.21000E-45      1.52000E-45        5.29806E-46   1.45395E+00   4.17133E+00 
   1.90000E+03   2.42606E+01   8.30000E-01   2.81000E-45      1.56000E-45        5.45202E-46   1.80128E+00   5.15405E+00 
   1.95000E+03   2.26017E+01   8.30000E-01   3.59000E-45      1.61000E-45        5.60597E-46   2.22981E+00   6.40388E+00 
   2.00000E+03   2.10495E+01   8.30000E-01   4.61000E-45      1.65000E-45        5.75993E-46   2.79394E+00   8.00357E+00 
   2.05000E+03   1.96031E+01   8.30000E-01   5.94000E-45      1.69000E-45        5.90588E-46   3.51479E+00   1.00578E+01 
   2.10000E+03   1.82530E+01   8.30000E-01   7.69000E-45      1.73000E-45        6.05184E-46   4.44509E+00   1.27069E+01 
   2.15000E+03   1.69973E+01   8.30000E-01   9.97000E-45      1.77000E-45        6.19779E-46   5.63277E+00   1.60864E+01 
   2.20000E+03   1.58422E+01   8.30000E-01   1.30000E-44      1.81000E-45        6.34375E-46   7.18232E+00   2.04926E+01 
   2.25000E+03   1.47787E+01   8.30000E-01   1.69000E-44      1.85000E-45        6.48970E-46   9.13514E+00   2.60413E+01 
   2.30000E+03   1.37965E+01   8.30000E-01   2.20000E-44      1.89000E-45        6.63566E-46   1.16402E+01   3.31542E+01 
   2.35000E+03   1.28842E+01   8.30000E-01   2.89000E-44      1.93000E-45        6.78161E-46   1.49741E+01   4.26152E+01 
   2.40000E+03   1.20333E+01   8.30000E-01   3.81000E-44      1.97000E-45        6.92757E-46   1.93401E+01   5.49977E+01 
   2.45000E+03   1.12384E+01   8.30000E-01   5.07000E-44      2.02000E-45        7.07352E-46   2.50990E+01   7.16758E+01 
   2.50000E+03   1.04981E+01   8.30000E-01   6.81000E-44      2.06000E-45        7.21948E-46   3.30583E+01   9.43282E+01 
   2.60000E+03   9.16086E+00   8.30000E-01   1.28000E-43      2.14000E-45        7.51138E-46   5.98131E+01   1.70408E+02 
   2.70000E+03   7.97540E+00   8.30000E-01   2.63000E-43      2.22000E-45        7.80329E-46   1.18468E+02   3.37037E+02 
   2.80000E+03   6.91477E+00   8.30000E-01   6.43000E-43      2.30000E-45        8.09520E-46   2.79565E+02   7.94298E+02 
   2.90000E+03   5.95993E+00   8.30000E-01   2.19000E-42      2.39000E-45        8.38711E-46   9.16318E+02   2.61115E+03 
   3.00000E+03   5.10504E+00   8.30000E-01   2.28000E-41      2.47000E-45        8.67902E-46   9.23077E+03   2.62702E+04 
   1.00000E+02   3.79073E+01   1.00000E+00   1.72000E-43      9.13000E-47        2.77513E-47   1.88390E+03   6.19792E+03 
   1.25000E+02   4.56914E+01   1.00000E+00   5.32000E-44      1.11000E-46        3.51588E-47   4.79279E+02   1.51314E+03 
   1.50000E+02   5.24385E+01   1.00000E+00   2.18000E-44      1.31000E-46        4.31873E-47   1.66412E+02   5.04778E+02 
   1.75000E+02   5.77621E+01   1.00000E+00   1.12000E-44      1.52000E-46        4.97704E-47   7.36842E+01   2.25034E+02 
   2.00000E+02   6.16276E+01   1.00000E+00   6.89000E-45      1.72000E-46        5.73117E-47   4.00581E+01   1.20220E+02 
   2.50000E+02   6.48254E+01   1.00000E+00   3.93000E-45      2.13000E-46        7.20152E-47   1.84507E+01   5.45718E+01 
   3.00000E+02   6.47947E+01   1.00000E+00   2.96000E-45      2.54000E-46        8.62586E-47   1.16535E+01   3.43154E+01 
   3.50000E+02   6.46872E+01   1.00000E+00   2.32000E-45      2.94000E-46        9.90191E-47   7.89116E+00   2.34298E+01 
   4.00000E+02   6.51875E+01   1.00000E+00   1.79000E-45      3.34000E-46        1.13759E-46   5.35928E+00   1.57351E+01 
   4.50000E+02   6.60324E+01   1.00000E+00   1.39000E-45      3.75000E-46        1.28995E-46   3.70667E+00   1.07756E+01 
   5.00000E+02   6.69571E+01   1.00000E+00   1.09000E-45      4.16000E-46        1.43927E-46   2.62019E+00   7.57329E+00 
   5.50000E+02   6.78085E+01   1.00000E+00   8.71000E-46      4.57000E-46        1.58947E-46   1.90591E+00   5.47982E+00 
   6.00000E+02   6.85390E+01   1.00000E+00   7.14000E-46      4.98000E-46        1.73983E-46   1.43373E+00   4.10384E+00 
   6.50000E+02   6.90728E+01   1.00000E+00   5.99000E-46      5.39000E-46        1.86126E-46   1.11132E+00   3.21825E+00 
   7.00000E+02   6.94258E+01   1.00000E+00   5.13000E-46      5.80000E-46        1.97355E-46   8.84483E-01   2.59938E+00 
   7.50000E+02   6.95527E+01   1.00000E+00   4.49000E-46      6.21000E-46        2.10639E-46   7.23027E-01   2.13161E+00 
   8.00000E+02   6.94783E+01   1.00000E+00   4.01000E-46      6.61000E-46        2.24890E-46   6.06657E-01   1.78310E+00 
   8.50000E+02   6.91726E+01   1.00000E+00   3.65000E-46      7.02000E-46        2.39141E-46   5.19943E-01   1.52630E+00 
   9.00000E+02   6.86646E+01   1.00000E+00   3.39000E-46      7.43000E-46        2.54766E-46   4.56258E-01   1.33064E+00 
   9.50000E+02   6.79433E+01   1.00000E+00   3.20000E-46      7.83000E-46        2.70824E-46   4.08685E-01   1.18158E+00 
   1.00000E+03   6.70326E+01   1.00000E+00   3.08000E-46      8.24000E-46        2.86883E-46   3.73786E-01   1.07361E+00 
   1.05000E+03   6.59200E+01   1.00000E+00   3.01000E-46      8.65000E-46        3.01433E-46   3.47977E-01   9.98564E-01 
   1.10000E+03   6.46422E+01   1.00000E+00   2.99000E-46      9.06000E-46        3.15696E-46   3.30022E-01   9.47115E-01 
   1.15000E+03   6.31818E+01   1.00000E+00   3.02000E-46      9.47000E-46        3.29959E-46   3.18902E-01   9.15267E-01 
   1.20000E+03   6.15548E+01   1.00000E+00   3.11000E-46      9.89000E-46        3.44221E-46   3.14459E-01   9.03488E-01 
   1.25000E+03   5.97789E+01   1.00000E+00   3.24000E-46      1.03000E-45        3.58906E-46   3.14563E-01   9.02742E-01 
   1.30000E+03   5.78638E+01   1.00000E+00   3.44000E-46      1.07000E-45        3.73756E-46   3.21495E-01   9.20387E-01 
   1.35000E+03   5.58261E+01   1.00000E+00   3.71000E-46      1.11000E-45        3.88605E-46   3.34234E-01   9.54697E-01 
   1.40000E+03   5.36734E+01   1.00000E+00   4.07000E-46      1.15000E-45        4.03454E-46   3.53913E-01   1.00879E+00 
   1.45000E+03   5.14282E+01   1.00000E+00   4.53000E-46      1.19000E-45        4.17391E-46   3.80672E-01   1.08531E+00 
   1.50000E+03   4.91100E+01   1.00000E+00   5.13000E-46      1.24000E-45        4.30720E-46   4.13710E-01   1.19103E+00 
   1.55000E+03   4.67210E+01   1.00000E+00   5.90000E-46      1.28000E-45        4.44048E-46   4.60938E-01   1.32869E+00 
   1.60000E+03   4.42794E+01   1.00000E+00   6.91000E-46      1.32000E-45        4.57376E-46   5.23485E-01   1.51079E+00 
   1.65000E+03   4.18127E+01   1.00000E+00   8.24000E-46      1.36000E-45        4.70705E-46   6.05882E-01   1.75057E+00 
   1.70000E+03   3.93564E+01   1.00000E+00   9.96000E-46      1.40000E-45        4.84033E-46   7.11429E-01   2.05771E+00 
   1.75000E+03   3.69225E+01   1.00000E+00   1.22000E-45      1.44000E-45        4.99015E-46   8.47222E-01   2.44481E+00 
   1.80000E+03   3.45481E+01   1.00000E+00   1.52000E-45      1.48000E-45        5.14411E-46   1.02703E+00   2.95484E+00 
   1.85000E+03   3.22252E+01   1.00000E+00   1.92000E-45      1.52000E-45        5.29806E-46   1.26316E+00   3.62396E+00 
   1.90000E+03   2.99658E+01   1.00000E+00   2.46000E-45      1.56000E-45        5.45202E-46   1.57692E+00   4.51209E+00 
   1.95000E+03   2.78031E+01   1.00000E+00   3.19000E-45      1.61000E-45        5.60597E-46   1.98137E+00   5.69036E+00 
   2.00000E+03   2.57632E+01   1.00000E+00   4.16000E-45      1.65000E-45        5.75993E-46   2.52121E+00   7.22231E+00 
   2.05000E+03   2.38484E+01   1.00000E+00   5.47000E-45      1.69000E-45        5.90588E-46   3.23669E+00   9.26195E+00 
   2.10000E+03   2.20586E+01   1.00000E+00   7.23000E-45      1.73000E-45        6.05184E-46   4.17919E+00   1.19468E+01 
   2.15000E+03   2.03969E+01   1.00000E+00   9.61000E-45      1.77000E-45        6.19779E-46   5.42938E+00   1.55055E+01 
   2.20000E+03   1.88729E+01   1.00000E+00   1.28000E-44      1.81000E-45        6.34375E-46   7.07182E+00   2.01773E+01 
   2.25000E+03   1.74797E+01   1.00000E+00   1.70000E-44      1.85000E-45        6.48970E-46   9.18919E+00   2.61953E+01 
   2.30000E+03   1.62063E+01   1.00000E+00   2.26000E-44      1.89000E-45        6.63566E-46   1.19577E+01   3.40584E+01 
   2.35000E+03   1.50375E+01   1.00000E+00   3.02000E-44      1.93000E-45        6.78161E-46   1.56477E+01   4.45322E+01 
   2.40000E+03   1.39598E+01   1.00000E+00   4.04000E-44      1.97000E-45        6.92757E-46   2.05076E+01   5.83177E+01 
   2.45000E+03   1.29667E+01   1.00000E+00   5.43000E-44      2.02000E-45        7.07352E-46   2.68812E+01   7.67652E+01 
   2.50000E+03   1.20544E+01   1.00000E+00   7.35000E-44      2.06000E-45        7.21948E-46   3.56796E+01   1.01808E+02 
   2.60000E+03   1.04365E+01   1.00000E+00   1.37000E-43      2.14000E-45        7.51138E-46   6.40187E+01   1.82390E+02 
   2.70000E+03   9.03386E+00   1.00000E+00   2.71000E-43      2.22000E-45        7.80329E-46   1.22072E+02   3.47289E+02 
   2.80000E+03   7.80095E+00   1.00000E+00   5.94000E-43      2.30000E-45        8.09520E-46   2.58261E+02   7.33768E+02 
   2.90000E+03   6.70762E+00   1.00000E+00   1.58000E-42      2.39000E-45        8.38711E-46   6.61088E+02   1.88384E+03 
   3.00000E+03   5.72926E+00   1.00000E+00   6.74000E-42      2.47000E-45        8.67902E-46   2.72874E+03   7.76585E+03 
   1.00000E+02   3.86425E+01   1.19000E+00   3.16000E-43      9.13000E-47        2.77513E-47   3.46112E+03   1.13869E+04 
   1.25000E+02   4.73334E+01   1.19000E+00   9.04000E-44      1.11000E-46        3.51588E-47   8.14414E+02   2.57119E+03 
   1.50000E+02   5.55271E+01   1.19000E+00   3.35000E-44      1.31000E-46        4.31873E-47   2.55725E+02   7.75691E+02 
   1.75000E+02   6.30438E+01   1.19000E+00   1.51000E-44      1.52000E-46        4.97704E-47   9.93421E+01   3.03393E+02 
   2.00000E+02   6.97842E+01   1.19000E+00   7.82000E-45      1.72000E-46        5.73117E-47   4.54651E+01   1.36447E+02 
   2.50000E+02   8.03855E+01   1.19000E+00   2.98000E-45      2.13000E-46        7.20152E-47   1.39906E+01   4.13802E+01 
   3.00000E+02   8.66751E+01   1.19000E+00   1.62000E-45      2.54000E-46        8.62586E-47   6.37795E+00   1.87807E+01 
   3.50000E+02   8.86560E+01   1.19000E+00   1.16000E-45      2.94000E-46        9.90191E-47   3.94558E+00   1.17149E+01 
   4.00000E+02   8.76854E+01   1.19000E+00   9.85000E-46      3.34000E-46        1.13759E-46   2.94910E+00   8.65869E+00 
   4.50000E+02   8.60508E+01   1.19000E+00   8.84000E-46      3.75000E-46        1.28995E-46   2.35733E+00   6.85297E+00 
   5.00000E+02   8.49327E+01   1.19000E+00   7.85000E-46      4.16000E-46        1.43927E-46   1.88702E+00   5.45416E+00 
   5.50000E+02   8.43588E+01   1.19000E+00   6.87000E-46      4.57000E-46        1.58947E-46   1.50328E+00   4.32220E+00 
   6.00000E+02   8.41710E+01   1.19000E+00   5.97000E-46      4.98000E-46        1.73983E-46   1.19880E+00   3.43137E+00 
   6.50000E+02   8.40950E+01   1.19000E+00   5.22000E-46      5.39000E-46        1.86126E-46   9.68460E-01   2.80455E+00 
   7.00000E+02   8.40823E+01   1.19000E+00   4.58000E-46      5.80000E-46        1.97355E-46   7.89655E-01   2.32069E+00 
   7.50000E+02   8.39868E+01   1.19000E+00   4.07000E-46      6.21000E-46        2.10639E-46   6.55395E-01   1.93222E+00 
   8.00000E+02   8.38049E+01   1.19000E+00   3.66000E-46      6.61000E-46        2.24890E-46   5.53707E-01   1.62746E+00 
   8.50000E+02   8.34569E+01   1.19000E+00   3.34000E-46      7.02000E-46        2.39141E-46   4.75783E-01   1.39667E+00 
   9.00000E+02   8.29631E+01   1.19000E+00   3.08000E-46      7.43000E-46        2.54766E-46   4.14536E-01   1.20895E+00 
   9.50000E+02   8.22800E+01   1.19000E+00   2.89000E-46      7.83000E-46        2.70824E-46   3.69093E-01   1.06711E+00 
   1.00000E+03   8.14288E+01   1.19000E+00   2.75000E-46      8.24000E-46        2.86883E-46   3.33738E-01   9.58580E-01 
