#    mchi[GeV]       Dm[GeV]        lambda  SigmaSI[cm2]  SigmaSI_UL[cm2]       rval_DD 
   2.35000E+03   1.21466E+01   7.50000E-01   2.53000E-44      1.93000E-45   1.31088E+01 
   2.40000E+03   1.13675E+01   7.50000E-01   3.33000E-44      1.97000E-45   1.69036E+01 
   2.45000E+03   1.06357E+01   7.50000E-01   4.43000E-44      2.02000E-45   2.19307E+01 
   2.50000E+03   9.95089E+00   7.50000E-01   5.97000E-44      2.06000E-45   2.89806E+01 
   2.60000E+03   8.70545E+00   7.50000E-01   1.13000E-43      2.14000E-45   5.28037E+01 
   2.70000E+03   7.59344E+00   7.50000E-01   2.41000E-43      2.22000E-45   1.08559E+02 
   2.80000E+03   6.59186E+00   7.50000E-01   6.20000E-43      2.30000E-45   2.69565E+02 
   2.90000E+03   5.68519E+00   7.50000E-01   2.49000E-42      2.39000E-45   1.04184E+03 
   3.00000E+03   4.87319E+00   7.50000E-01   9.31000E-41      2.47000E-45   3.76923E+04 
   1.00000E+02   3.60158E+01   8.30000E-01   1.04000E-43      9.13000E-47   1.13910E+03 
   1.25000E+02   4.15584E+01   8.30000E-01   3.92000E-44      1.11000E-46   3.53153E+02 
   1.50000E+02   4.51310E+01   8.30000E-01   2.06000E-44      1.31000E-46   1.57252E+02 
   1.75000E+02   4.67446E+01   8.30000E-01   1.40000E-44      1.52000E-46   9.21053E+01 
   2.00000E+02   4.74873E+01   8.30000E-01   1.06000E-44      1.72000E-46   6.16279E+01 
   2.50000E+02   4.86393E+01   8.30000E-01   6.66000E-45      2.13000E-46   3.12676E+01 
   3.00000E+02   5.02894E+01   8.30000E-01   4.25000E-45      2.54000E-46   1.67323E+01 
   3.50000E+02   5.20898E+01   8.30000E-01   2.81000E-45      2.94000E-46   9.55782E+00 
   4.00000E+02   5.38001E+01   8.30000E-01   1.94000E-45      3.34000E-46   5.80838E+00 
   4.50000E+02   5.53212E+01   8.30000E-01   1.40000E-45      3.75000E-46   3.73333E+00 
   5.00000E+02   5.66184E+01   8.30000E-01   1.05000E-45      4.16000E-46   2.52404E+00 
   5.50000E+02   5.76585E+01   8.30000E-01   8.22000E-46      4.57000E-46   1.79869E+00 
   6.00000E+02   5.84516E+01   8.30000E-01   6.64000E-46      4.98000E-46   1.33333E+00 
   6.50000E+02   5.89850E+01   8.30000E-01   5.52000E-46      5.39000E-46   1.02412E+00 
   7.00000E+02   5.92867E+01   8.30000E-01   4.72000E-46      5.80000E-46   8.13793E-01 
   7.50000E+02   5.93418E+01   8.30000E-01   4.14000E-46      6.21000E-46   6.66667E-01 
   8.00000E+02   5.91835E+01   8.30000E-01   3.72000E-46      6.61000E-46   5.62784E-01 
   8.50000E+02   5.87972E+01   8.30000E-01   3.41000E-46      7.02000E-46   4.85755E-01 
   9.00000E+02   5.82139E+01   8.30000E-01   3.20000E-46      7.43000E-46   4.30686E-01 
   9.50000E+02   5.74313E+01   8.30000E-01   3.05000E-46      7.83000E-46   3.89527E-01 
   1.00000E+03   5.64788E+01   8.30000E-01   2.97000E-46      8.24000E-46   3.60437E-01 
   1.05000E+03   5.53467E+01   8.30000E-01   2.95000E-46      8.65000E-46   3.41040E-01 
   1.10000E+03   5.40722E+01   8.30000E-01   2.97000E-46      9.06000E-46   3.27815E-01 
   1.15000E+03   5.26550E+01   8.30000E-01   3.04000E-46      9.47000E-46   3.21014E-01 
   1.20000E+03   5.10953E+01   8.30000E-01   3.17000E-46      9.89000E-46   3.20526E-01 
   1.25000E+03   4.94234E+01   8.30000E-01   3.37000E-46      1.03000E-45   3.27184E-01 
   1.30000E+03   4.76551E+01   8.30000E-01   3.63000E-46      1.07000E-45   3.39252E-01 
   1.35000E+03   4.58051E+01   8.30000E-01   3.97000E-46      1.11000E-45   3.57658E-01 
   1.40000E+03   4.38735E+01   8.30000E-01   4.42000E-46      1.15000E-45   3.84348E-01 
   1.45000E+03   4.18831E+01   8.30000E-01   4.99000E-46      1.19000E-45   4.19328E-01 
   1.50000E+03   3.98638E+01   8.30000E-01   5.73000E-46      1.24000E-45   4.62097E-01 
   1.55000E+03   3.78161E+01   8.30000E-01   6.67000E-46      1.28000E-45   5.21094E-01 
   1.60000E+03   3.57508E+01   8.30000E-01   7.90000E-46      1.32000E-45   5.98485E-01 
   1.65000E+03   3.36963E+01   8.30000E-01   9.49000E-46      1.36000E-45   6.97794E-01 
   1.70000E+03   3.16861E+01   8.30000E-01   1.15000E-45      1.40000E-45   8.21429E-01 
   1.75000E+03   2.97202E+01   8.30000E-01   1.42000E-45      1.44000E-45   9.86111E-01 
   1.80000E+03   2.78329E+01   8.30000E-01   1.76000E-45      1.48000E-45   1.18919E+00 
   1.85000E+03   2.60131E+01   8.30000E-01   2.21000E-45      1.52000E-45   1.45395E+00 
   1.90000E+03   2.42606E+01   8.30000E-01   2.81000E-45      1.56000E-45   1.80128E+00 
   1.95000E+03   2.26017E+01   8.30000E-01   3.59000E-45      1.61000E-45   2.22981E+00 
   2.00000E+03   2.10495E+01   8.30000E-01   4.61000E-45      1.65000E-45   2.79394E+00 
   2.05000E+03   1.96031E+01   8.30000E-01   5.94000E-45      1.69000E-45   3.51479E+00 
   2.10000E+03   1.82530E+01   8.30000E-01   7.69000E-45      1.73000E-45   4.44509E+00 
   2.15000E+03   1.69973E+01   8.30000E-01   9.97000E-45      1.77000E-45   5.63277E+00 
   2.20000E+03   1.58422E+01   8.30000E-01   1.30000E-44      1.81000E-45   7.18232E+00 
   2.25000E+03   1.47787E+01   8.30000E-01   1.69000E-44      1.85000E-45   9.13514E+00 
   2.30000E+03   1.37965E+01   8.30000E-01   2.20000E-44      1.89000E-45   1.16402E+01 
   2.35000E+03   1.28842E+01   8.30000E-01   2.89000E-44      1.93000E-45   1.49741E+01 
   2.40000E+03   1.20333E+01   8.30000E-01   3.81000E-44      1.97000E-45   1.93401E+01 
   2.45000E+03   1.12384E+01   8.30000E-01   5.07000E-44      2.02000E-45   2.50990E+01 
   2.50000E+03   1.04981E+01   8.30000E-01   6.81000E-44      2.06000E-45   3.30583E+01 
   2.60000E+03   9.16086E+00   8.30000E-01   1.28000E-43      2.14000E-45   5.98131E+01 
   2.70000E+03   7.97540E+00   8.30000E-01   2.63000E-43      2.22000E-45   1.18468E+02 
   2.80000E+03   6.91477E+00   8.30000E-01   6.43000E-43      2.30000E-45   2.79565E+02 
   2.90000E+03   5.95993E+00   8.30000E-01   2.19000E-42      2.39000E-45   9.16318E+02 
   3.00000E+03   5.10504E+00   8.30000E-01   2.28000E-41      2.47000E-45   9.23077E+03 
   1.00000E+02   3.79073E+01   1.00000E+00   1.72000E-43      9.13000E-47   1.88390E+03 
   1.25000E+02   4.56914E+01   1.00000E+00   5.32000E-44      1.11000E-46   4.79279E+02 
   1.50000E+02   5.24385E+01   1.00000E+00   2.18000E-44      1.31000E-46   1.66412E+02 
   1.75000E+02   5.77621E+01   1.00000E+00   1.12000E-44      1.52000E-46   7.36842E+01 
   2.00000E+02   6.16276E+01   1.00000E+00   6.89000E-45      1.72000E-46   4.00581E+01 
   2.50000E+02   6.48254E+01   1.00000E+00   3.93000E-45      2.13000E-46   1.84507E+01 
   3.00000E+02   6.47947E+01   1.00000E+00   2.96000E-45      2.54000E-46   1.16535E+01 
   3.50000E+02   6.46872E+01   1.00000E+00   2.32000E-45      2.94000E-46   7.89116E+00 
   4.00000E+02   6.51875E+01   1.00000E+00   1.79000E-45      3.34000E-46   5.35928E+00 
   4.50000E+02   6.60324E+01   1.00000E+00   1.39000E-45      3.75000E-46   3.70667E+00 
   5.00000E+02   6.69571E+01   1.00000E+00   1.09000E-45      4.16000E-46   2.62019E+00 
   5.50000E+02   6.78085E+01   1.00000E+00   8.71000E-46      4.57000E-46   1.90591E+00 
   6.00000E+02   6.85390E+01   1.00000E+00   7.14000E-46      4.98000E-46   1.43373E+00 
   6.50000E+02   6.90728E+01   1.00000E+00   5.99000E-46      5.39000E-46   1.11132E+00 
   7.00000E+02   6.94258E+01   1.00000E+00   5.13000E-46      5.80000E-46   8.84483E-01 
   7.50000E+02   6.95527E+01   1.00000E+00   4.49000E-46      6.21000E-46   7.23027E-01 
   8.00000E+02   6.94783E+01   1.00000E+00   4.01000E-46      6.61000E-46   6.06657E-01 
   8.50000E+02   6.91726E+01   1.00000E+00   3.65000E-46      7.02000E-46   5.19943E-01 
   9.00000E+02   6.86646E+01   1.00000E+00   3.39000E-46      7.43000E-46   4.56258E-01 
   9.50000E+02   6.79433E+01   1.00000E+00   3.20000E-46      7.83000E-46   4.08685E-01 
   1.00000E+03   6.70326E+01   1.00000E+00   3.08000E-46      8.24000E-46   3.73786E-01 
   1.05000E+03   6.59200E+01   1.00000E+00   3.01000E-46      8.65000E-46   3.47977E-01 
   1.10000E+03   6.46422E+01   1.00000E+00   2.99000E-46      9.06000E-46   3.30022E-01 
   1.15000E+03   6.31818E+01   1.00000E+00   3.02000E-46      9.47000E-46   3.18902E-01 
   1.20000E+03   6.15548E+01   1.00000E+00   3.11000E-46      9.89000E-46   3.14459E-01 
   1.25000E+03   5.97789E+01   1.00000E+00   3.24000E-46      1.03000E-45   3.14563E-01 
   1.30000E+03   5.78638E+01   1.00000E+00   3.44000E-46      1.07000E-45   3.21495E-01 
   1.35000E+03   5.58261E+01   1.00000E+00   3.71000E-46      1.11000E-45   3.34234E-01 
   1.40000E+03   5.36734E+01   1.00000E+00   4.07000E-46      1.15000E-45   3.53913E-01 
   1.45000E+03   5.14282E+01   1.00000E+00   4.53000E-46      1.19000E-45   3.80672E-01 
   1.50000E+03   4.91100E+01   1.00000E+00   5.13000E-46      1.24000E-45   4.13710E-01 
   1.55000E+03   4.67210E+01   1.00000E+00   5.90000E-46      1.28000E-45   4.60938E-01 
   1.60000E+03   4.42794E+01   1.00000E+00   6.91000E-46      1.32000E-45   5.23485E-01 
   1.65000E+03   4.18127E+01   1.00000E+00   8.24000E-46      1.36000E-45   6.05882E-01 
   1.70000E+03   3.93564E+01   1.00000E+00   9.96000E-46      1.40000E-45   7.11429E-01 
   1.75000E+03   3.69225E+01   1.00000E+00   1.22000E-45      1.44000E-45   8.47222E-01 
   1.80000E+03   3.45481E+01   1.00000E+00   1.52000E-45      1.48000E-45   1.02703E+00 
   1.85000E+03   3.22252E+01   1.00000E+00   1.92000E-45      1.52000E-45   1.26316E+00 
   1.90000E+03   2.99658E+01   1.00000E+00   2.46000E-45      1.56000E-45   1.57692E+00 
   1.95000E+03   2.78031E+01   1.00000E+00   3.19000E-45      1.61000E-45   1.98137E+00 
   2.00000E+03   2.57632E+01   1.00000E+00   4.16000E-45      1.65000E-45   2.52121E+00 
   2.05000E+03   2.38484E+01   1.00000E+00   5.47000E-45      1.69000E-45   3.23669E+00 
   2.10000E+03   2.20586E+01   1.00000E+00   7.23000E-45      1.73000E-45   4.17919E+00 
   2.15000E+03   2.03969E+01   1.00000E+00   9.61000E-45      1.77000E-45   5.42938E+00 
   2.20000E+03   1.88729E+01   1.00000E+00   1.28000E-44      1.81000E-45   7.07182E+00 
   2.25000E+03   1.74797E+01   1.00000E+00   1.70000E-44      1.85000E-45   9.18919E+00 
   2.30000E+03   1.62063E+01   1.00000E+00   2.26000E-44      1.89000E-45   1.19577E+01 
   2.35000E+03   1.50375E+01   1.00000E+00   3.02000E-44      1.93000E-45   1.56477E+01 
   2.40000E+03   1.39598E+01   1.00000E+00   4.04000E-44      1.97000E-45   2.05076E+01 
   2.45000E+03   1.29667E+01   1.00000E+00   5.43000E-44      2.02000E-45   2.68812E+01 
   2.50000E+03   1.20544E+01   1.00000E+00   7.35000E-44      2.06000E-45   3.56796E+01 
   2.60000E+03   1.04365E+01   1.00000E+00   1.37000E-43      2.14000E-45   6.40187E+01 
   2.70000E+03   9.03386E+00   1.00000E+00   2.71000E-43      2.22000E-45   1.22072E+02 
   2.80000E+03   7.80095E+00   1.00000E+00   5.94000E-43      2.30000E-45   2.58261E+02 
   2.90000E+03   6.70762E+00   1.00000E+00   1.58000E-42      2.39000E-45   6.61088E+02 
   3.00000E+03   5.72926E+00   1.00000E+00   6.74000E-42      2.47000E-45   2.72874E+03 
   1.00000E+02   3.86425E+01   1.19000E+00   3.16000E-43      9.13000E-47   3.46112E+03 
   1.25000E+02   4.73334E+01   1.19000E+00   9.04000E-44      1.11000E-46   8.14414E+02 
   1.50000E+02   5.55271E+01   1.19000E+00   3.35000E-44      1.31000E-46   2.55725E+02 
   1.75000E+02   6.30438E+01   1.19000E+00   1.51000E-44      1.52000E-46   9.93421E+01 
   2.00000E+02   6.97842E+01   1.19000E+00   7.82000E-45      1.72000E-46   4.54651E+01 
   2.50000E+02   8.03855E+01   1.19000E+00   2.98000E-45      2.13000E-46   1.39906E+01 
   3.00000E+02   8.66751E+01   1.19000E+00   1.62000E-45      2.54000E-46   6.37795E+00 
   3.50000E+02   8.86560E+01   1.19000E+00   1.16000E-45      2.94000E-46   3.94558E+00 
   4.00000E+02   8.76854E+01   1.19000E+00   9.85000E-46      3.34000E-46   2.94910E+00 
   4.50000E+02   8.60508E+01   1.19000E+00   8.84000E-46      3.75000E-46   2.35733E+00 
   5.00000E+02   8.49327E+01   1.19000E+00   7.85000E-46      4.16000E-46   1.88702E+00 
   5.50000E+02   8.43588E+01   1.19000E+00   6.87000E-46      4.57000E-46   1.50328E+00 
   6.00000E+02   8.41710E+01   1.19000E+00   5.97000E-46      4.98000E-46   1.19880E+00 
   6.50000E+02   8.40950E+01   1.19000E+00   5.22000E-46      5.39000E-46   9.68460E-01 
   7.00000E+02   8.40823E+01   1.19000E+00   4.58000E-46      5.80000E-46   7.89655E-01 
   7.50000E+02   8.39868E+01   1.19000E+00   4.07000E-46      6.21000E-46   6.55395E-01 
   8.00000E+02   8.38049E+01   1.19000E+00   3.66000E-46      6.61000E-46   5.53707E-01 
   8.50000E+02   8.34569E+01   1.19000E+00   3.34000E-46      7.02000E-46   4.75783E-01 
   9.00000E+02   8.29631E+01   1.19000E+00   3.08000E-46      7.43000E-46   4.14536E-01 
   9.50000E+02   8.22800E+01   1.19000E+00   2.89000E-46      7.83000E-46   3.69093E-01 
   1.00000E+03   8.14288E+01   1.19000E+00   2.75000E-46      8.24000E-46   3.33738E-01 
   1.05000E+03   8.03850E+01   1.19000E+00   2.65000E-46      8.65000E-46   3.06358E-01 
   1.10000E+03   7.91670E+01   1.19000E+00   2.59000E-46      9.06000E-46   2.85872E-01 
   1.15000E+03   7.77470E+01   1.19000E+00   2.57000E-46      9.47000E-46   2.71383E-01 
   1.20000E+03   7.61501E+01   1.19000E+00   2.59000E-46      9.89000E-46   2.61881E-01 
   1.25000E+03   7.43698E+01   1.19000E+00   2.64000E-46      1.03000E-45   2.56311E-01 
   1.30000E+03   7.24335E+01   1.19000E+00   2.74000E-46      1.07000E-45   2.56075E-01 
   1.35000E+03   7.03346E+01   1.19000E+00   2.88000E-46      1.11000E-45   2.59459E-01 
   1.40000E+03   6.80683E+01   1.19000E+00   3.07000E-46      1.15000E-45   2.66957E-01 
   1.45000E+03   6.56588E+01   1.19000E+00   3.33000E-46      1.19000E-45   2.79832E-01 
   1.50000E+03   6.31270E+01   1.19000E+00   3.67000E-46      1.24000E-45   2.95968E-01 
   1.55000E+03   6.04662E+01   1.19000E+00   4.11000E-46      1.28000E-45   3.21094E-01 
   1.60000E+03   5.76848E+01   1.19000E+00   4.69000E-46      1.32000E-45   3.55303E-01 
   1.65000E+03   5.48258E+01   1.19000E+00   5.44000E-46      1.36000E-45   4.00000E-01 
   1.70000E+03   5.19113E+01   1.19000E+00   6.43000E-46      1.40000E-45   4.59286E-01 
   1.75000E+03   4.89597E+01   1.19000E+00   7.72000E-46      1.44000E-45   5.36111E-01 
   1.80000E+03   4.59917E+01   1.19000E+00   9.44000E-46      1.48000E-45   6.37838E-01 
   1.85000E+03   4.30194E+01   1.19000E+00   1.18000E-45      1.52000E-45   7.76316E-01 
   1.90000E+03   4.00676E+01   1.19000E+00   1.49000E-45      1.56000E-45   9.55128E-01 
   1.95000E+03   3.71734E+01   1.19000E+00   1.93000E-45      1.61000E-45   1.19876E+00 
   2.00000E+03   3.43804E+01   1.19000E+00   2.53000E-45      1.65000E-45   1.53333E+00 
   2.05000E+03   3.16972E+01   1.19000E+00   3.37000E-45      1.69000E-45   1.99408E+00 
   2.10000E+03   2.91490E+01   1.19000E+00   4.54000E-45      1.73000E-45   2.62428E+00 
   2.15000E+03   2.67521E+01   1.19000E+00   6.19000E-45      1.77000E-45   3.49718E+00 
   2.20000E+03   2.45382E+01   1.19000E+00   8.46000E-45      1.81000E-45   4.67403E+00 
   2.25000E+03   2.25005E+01   1.19000E+00   1.16000E-44      1.85000E-45   6.27027E+00 
   2.30000E+03   2.06447E+01   1.19000E+00   1.60000E-44      1.89000E-45   8.46561E+00 
   2.35000E+03   1.89553E+01   1.19000E+00   2.21000E-44      1.93000E-45   1.14508E+01 
   2.40000E+03   1.74203E+01   1.19000E+00   3.05000E-44      1.97000E-45   1.54822E+01 
   2.45000E+03   1.60283E+01   1.19000E+00   4.20000E-44      2.02000E-45   2.07921E+01 
   2.50000E+03   1.47715E+01   1.19000E+00   5.80000E-44      2.06000E-45   2.81553E+01 
   2.60000E+03   1.25959E+01   1.19000E+00   1.11000E-43      2.14000E-45   5.18692E+01 
   2.70000E+03   1.07823E+01   1.19000E+00   2.17000E-43      2.22000E-45   9.77477E+01 
   2.80000E+03   9.23630E+00   1.19000E+00   4.46000E-43      2.30000E-45   1.93913E+02 
   2.90000E+03   7.90069E+00   1.19000E+00   1.03000E-42      2.39000E-45   4.30962E+02 
   3.00000E+03   5.72926E+00   1.19000E+00   1.35000E-41      2.47000E-45   5.46559E+03 
   1.00000E+02   3.86425E+01   1.19000E+00   3.16000E-43      9.13000E-47   3.46112E+03 
   1.25000E+02   4.73334E+01   1.19000E+00   9.04000E-44      1.11000E-46   8.14414E+02 
   1.50000E+02   5.55271E+01   1.19000E+00   3.35000E-44      1.31000E-46   2.55725E+02 
   1.75000E+02   6.30438E+01   1.19000E+00   1.51000E-44      1.52000E-46   9.93421E+01 
   2.00000E+02   6.97842E+01   1.19000E+00   7.82000E-45      1.72000E-46   4.54651E+01 
   2.50000E+02   8.03855E+01   1.19000E+00   2.98000E-45      2.13000E-46   1.39906E+01 
   3.00000E+02   8.66751E+01   1.19000E+00   1.62000E-45      2.54000E-46   6.37795E+00 
   3.50000E+02   8.86560E+01   1.19000E+00   1.16000E-45      2.94000E-46   3.94558E+00 
   4.00000E+02   8.76854E+01   1.19000E+00   9.85000E-46      3.34000E-46   2.94910E+00 
   4.50000E+02   8.60508E+01   1.19000E+00   8.84000E-46      3.75000E-46   2.35733E+00 
   5.00000E+02   8.49327E+01   1.19000E+00   7.85000E-46      4.16000E-46   1.88702E+00 
   5.50000E+02   8.43588E+01   1.19000E+00   6.87000E-46      4.57000E-46   1.50328E+00 
   6.00000E+02   8.41710E+01   1.19000E+00   5.97000E-46      4.98000E-46   1.19880E+00 
   6.50000E+02   8.40950E+01   1.19000E+00   5.22000E-46      5.39000E-46   9.68460E-01 
   7.00000E+02   8.40823E+01   1.19000E+00   4.58000E-46      5.80000E-46   7.89655E-01 
   7.50000E+02   8.39868E+01   1.19000E+00   4.07000E-46      6.21000E-46   6.55395E-01 
   8.00000E+02   8.38049E+01   1.19000E+00   3.66000E-46      6.61000E-46   5.53707E-01 
   8.50000E+02   8.34569E+01   1.19000E+00   3.34000E-46      7.02000E-46   4.75783E-01 
   9.00000E+02   8.29631E+01   1.19000E+00   3.08000E-46      7.43000E-46   4.14536E-01 
   9.50000E+02   8.22800E+01   1.19000E+00   2.89000E-46      7.83000E-46   3.69093E-01 
   1.00000E+03   8.14288E+01   1.19000E+00   2.75000E-46      8.24000E-46   3.33738E-01 
   1.05000E+03   8.03850E+01   1.19000E+00   2.65000E-46      8.65000E-46   3.06358E-01 
   1.10000E+03   7.91670E+01   1.19000E+00   2.59000E-46      9.06000E-46   2.85872E-01 
   1.15000E+03   7.77470E+01   1.19000E+00   2.57000E-46      9.47000E-46   2.71383E-01 
   1.20000E+03   7.61501E+01   1.19000E+00   2.59000E-46      9.89000E-46   2.61881E-01 
   1.25000E+03   7.43698E+01   1.19000E+00   2.64000E-46      1.03000E-45   2.56311E-01 
   1.30000E+03   7.24335E+01   1.19000E+00   2.74000E-46      1.07000E-45   2.56075E-01 
   1.35000E+03   7.03346E+01   1.19000E+00   2.88000E-46      1.11000E-45   2.59459E-01 
   1.40000E+03   6.80683E+01   1.19000E+00   3.07000E-46      1.15000E-45   2.66957E-01 
   1.45000E+03   6.56588E+01   1.19000E+00   3.33000E-46      1.19000E-45   2.79832E-01 
   1.50000E+03   6.31270E+01   1.19000E+00   3.67000E-46      1.24000E-45   2.95968E-01 
   1.55000E+03   6.04662E+01   1.19000E+00   4.11000E-46      1.28000E-45   3.21094E-01 
   1.60000E+03   5.76848E+01   1.19000E+00   4.69000E-46      1.32000E-45   3.55303E-01 
   1.65000E+03   5.48258E+01   1.19000E+00   5.44000E-46      1.36000E-45   4.00000E-01 
   1.70000E+03   5.19113E+01   1.19000E+00   6.43000E-46      1.40000E-45   4.59286E-01 
   1.75000E+03   4.89597E+01   1.19000E+00   7.72000E-46      1.44000E-45   5.36111E-01 
   1.80000E+03   4.59917E+01   1.19000E+00   9.44000E-46      1.48000E-45   6.37838E-01 
   1.85000E+03   4.30194E+01   1.19000E+00   1.18000E-45      1.52000E-45   7.76316E-01 
   1.90000E+03   4.00676E+01   1.19000E+00   1.49000E-45      1.56000E-45   9.55128E-01 
   1.95000E+03   3.71734E+01   1.19000E+00   1.93000E-45      1.61000E-45   1.19876E+00 
   2.00000E+03   3.43804E+01   1.19000E+00   2.53000E-45      1.65000E-45   1.53333E+00 
   2.05000E+03   3.16972E+01   1.19000E+00   3.37000E-45      1.69000E-45   1.99408E+00 
   2.10000E+03   2.91490E+01   1.19000E+00   4.54000E-45      1.73000E-45   2.62428E+00 
   2.15000E+03   2.67521E+01   1.19000E+00   6.19000E-45      1.77000E-45   3.49718E+00 
   2.20000E+03   2.45382E+01   1.19000E+00   8.46000E-45      1.81000E-45   4.67403E+00 
   2.25000E+03   2.25005E+01   1.19000E+00   1.16000E-44      1.85000E-45   6.27027E+00 
   2.30000E+03   2.06447E+01   1.19000E+00   1.60000E-44      1.89000E-45   8.46561E+00 
   2.35000E+03   1.89553E+01   1.19000E+00   2.21000E-44      1.93000E-45   1.14508E+01 
   2.40000E+03   1.74203E+01   1.19000E+00   3.05000E-44      1.97000E-45   1.54822E+01 
   2.45000E+03   1.60283E+01   1.19000E+00   4.20000E-44      2.02000E-45   2.07921E+01 
   2.50000E+03   1.47715E+01   1.19000E+00   5.80000E-44      2.06000E-45   2.81553E+01 
   2.60000E+03   1.25959E+01   1.19000E+00   1.11000E-43      2.14000E-45   5.18692E+01 
   2.70000E+03   1.07823E+01   1.19000E+00   2.17000E-43      2.22000E-45   9.77477E+01 
   2.80000E+03   9.23630E+00   1.19000E+00   4.46000E-43      2.30000E-45   1.93913E+02 
   2.90000E+03   7.90069E+00   1.19000E+00   1.03000E-42      2.39000E-45   4.30962E+02 
   3.00000E+03   6.92759E+00   1.19000E+00   2.32000E-42      2.47000E-45   9.39271E+02 
   1.00000E+02   3.88719E+01   1.29756E+00   4.34000E-43      9.13000E-47   4.75356E+03 
   1.25000E+02   4.77681E+01   1.29756E+00   1.22000E-43      1.11000E-46   1.09910E+03 
   1.50000E+02   5.63283E+01   1.29756E+00   4.43000E-44      1.31000E-46   3.38168E+02 
   1.75000E+02   6.44238E+01   1.29756E+00   1.92000E-44      1.52000E-46   1.26316E+02 
   2.00000E+02   7.20094E+01   1.29756E+00   9.56000E-45      1.72000E-46   5.55814E+01 
   2.50000E+02   8.52260E+01   1.29756E+00   3.22000E-45      2.13000E-46   1.51174E+01 
   3.00000E+02   9.53145E+01   1.29756E+00   1.49000E-45      2.54000E-46   5.86614E+00 
   3.50000E+02   1.01692E+02   1.29756E+00   8.84000E-46      2.94000E-46   3.00680E+00 
   4.00000E+02   1.04133E+02   1.29756E+00   6.50000E-46      3.34000E-46   1.94611E+00 
   4.50000E+02   1.03520E+02   1.29756E+00   5.55000E-46      3.75000E-46   1.48000E+00 
   5.00000E+02   1.01401E+02   1.29756E+00   5.13000E-46      4.16000E-46   1.23317E+00 
   5.50000E+02   9.91076E+01   1.29756E+00   4.85000E-46      4.57000E-46   1.06127E+00 
   6.00000E+02   9.73773E+01   1.29756E+00   4.52000E-46      4.98000E-46   9.07631E-01 
   6.50000E+02   9.61335E+01   1.29756E+00   4.16000E-46      5.39000E-46   7.71800E-01 
   7.00000E+02   9.53140E+01   1.29756E+00   3.80000E-46      5.80000E-46   6.55172E-01 
   7.50000E+02   9.46413E+01   1.29756E+00   3.47000E-46      6.21000E-46   5.58776E-01 
   8.00000E+02   9.40668E+01   1.29756E+00   3.18000E-46      6.61000E-46   4.81089E-01 
   8.50000E+02   9.34427E+01   1.29756E+00   2.93000E-46      7.02000E-46   4.17379E-01 
   9.00000E+02   9.27684E+01   1.29756E+00   2.73000E-46      7.43000E-46   3.67429E-01 
   9.50000E+02   9.19599E+01   1.29756E+00   2.57000E-46      7.83000E-46   3.28225E-01 
   1.00000E+03   9.10357E+01   1.29756E+00   2.44000E-46      8.24000E-46   2.96117E-01 
   1.05000E+03   8.99542E+01   1.29756E+00   2.35000E-46      8.65000E-46   2.71676E-01 
   1.10000E+03   8.87285E+01   1.29756E+00   2.28000E-46      9.06000E-46   2.51656E-01 
   1.15000E+03   8.73189E+01   1.29756E+00   2.24000E-46      9.47000E-46   2.36536E-01 
   1.20000E+03   8.57487E+01   1.29756E+00   2.24000E-46      9.89000E-46   2.26491E-01 
   1.25000E+03   8.39950E+01   1.29756E+00   2.26000E-46      1.03000E-45   2.19417E-01 
   1.30000E+03   8.20815E+01   1.29756E+00   2.31000E-46      1.07000E-45   2.15888E-01 
   1.35000E+03   8.00002E+01   1.29756E+00   2.39000E-46      1.11000E-45   2.15315E-01 
   1.40000E+03   7.77379E+01   1.29756E+00   2.51000E-46      1.15000E-45   2.18261E-01 
   1.45000E+03   7.53075E+01   1.29756E+00   2.68000E-46      1.19000E-45   2.25210E-01 
   1.50000E+03   7.27343E+01   1.29756E+00   2.90000E-46      1.24000E-45   2.33871E-01 
   1.55000E+03   7.00079E+01   1.29756E+00   3.19000E-46      1.28000E-45   2.49219E-01 
   1.60000E+03   6.71286E+01   1.29756E+00   3.56000E-46      1.32000E-45   2.69697E-01 
   1.65000E+03   6.41381E+01   1.29756E+00   4.05000E-46      1.36000E-45   2.97794E-01 
   1.70000E+03   6.10513E+01   1.29756E+00   4.68000E-46      1.40000E-45   3.34286E-01 
   1.75000E+03   5.78774E+01   1.29756E+00   5.50000E-46      1.44000E-45   3.81944E-01 
   1.80000E+03   5.46401E+01   1.29756E+00   6.59000E-46      1.48000E-45   4.45270E-01 
   1.85000E+03   5.13509E+01   1.29756E+00   8.06000E-46      1.52000E-45   5.30263E-01 
   1.90000E+03   4.80343E+01   1.29756E+00   1.01000E-45      1.56000E-45   6.47436E-01 
   1.95000E+03   4.47285E+01   1.29756E+00   1.28000E-45      1.61000E-45   7.95031E-01 
   2.00000E+03   4.14669E+01   1.29756E+00   1.66000E-45      1.65000E-45   1.00606E+00 
   2.05000E+03   3.82800E+01   1.29756E+00   2.19000E-45      1.69000E-45   1.29586E+00 
   2.10000E+03   3.52003E+01   1.29756E+00   2.95000E-45      1.73000E-45   1.70520E+00 
   2.15000E+03   3.22517E+01   1.29756E+00   4.04000E-45      1.77000E-45   2.28249E+00 
   2.20000E+03   2.94858E+01   1.29756E+00   5.58000E-45      1.81000E-45   3.08287E+00 
